report_date,cert,total_assets,borrowings
2023-12-31,20624.0,54816.0,0.0
2023-12-31,9932.0,109.0,-347.0
2023-12-31,8785.0,1380.0,0.0
2023-12-31,9536.0,3516.0,-245.0
2023-12-31,4360.0,39752.0,-32052.0
2023-12-31,9620.0,4762.0,-483.0
2023-12-31,5838.0,4.0,0.0
2023-12-31,8700.0,644.0,0.0
2023-12-31,17751.0,4656.0,0.0
2023-12-31,4722.0,388.0,0.0
2023-12-31,28667.0,35.0,-45.0
2023-12-31,10072.0,819.0,-61.0
2023-12-31,30350.0,2149.0,0.0
2023-12-31,4972.0,1550.0,209.0
2023-12-31,29800.0,1380.0,-225.0
2023-12-31,10637.0,252.0,0.0
2023-12-31,5598.0,7667.0,-2195.0
2023-12-31,8533.0,874.0,0.0
2023-12-31,11708.0,685.0,0.0
2023-12-31,19755.0,205.0,0.0
2023-12-31,9007.0,50.0,0.0
2023-12-31,14868.0,456.0,0.0
2023-12-31,9319.0,367.0,-44.0
2023-12-31,12135.0,109.0,0.0
2023-12-31,19531.0,17313.0,-2137.0
2023-12-31,3840.0,833.0,0.0
2023-12-31,11862.0,448.0,-57.0
2023-12-31,4611.0,449.0,0.0
2023-12-31,9105.0,765.0,0.0
2023-12-31,14587.0,444.0,0.0
2023-12-31,57083.0,187848.0,-15.0
2023-12-31,18120.0,397.0,0.0
2023-12-31,3079.0,80.0,-12.0
2023-12-31,9196.0,340.0,-40.0
2023-12-31,2838.0,329.0,0.0
2023-12-31,31461.0,526.0,0.0
2023-12-31,10667.0,9093.0,0.0
2023-12-31,25858.0,23525.0,-52013.0
2023-12-31,15614.0,49446.0,-431.0
2023-12-31,12839.0,2791.0,-638.0
2023-12-31,11482.0,975.0,20.0
2023-12-31,20164.0,20179.0,-908.0
2023-12-31,2157.0,112.0,0.0
2023-12-31,2301.0,477.0,0.0
2023-12-31,10988.0,31294.0,0.0
2023-12-31,30358.0,201.0,0.0
2023-12-31,2379.0,778.0,1.0
2023-12-31,13816.0,131.0,0.0
2023-12-31,30357.0,82.0,0.0
2023-12-31,4048.0,5922.0,0.0
2023-12-31,31488.0,103.0,0.0
2023-12-31,17266.0,187065.0,7.0
2023-12-31,16116.0,2671.0,0.0
2023-12-31,5336.0,832.0,0.0
2023-12-31,26955.0,823.0,0.0
2023-12-31,4619.0,510.0,-231.0
2023-12-31,17863.0,1610.0,599.0
2023-12-31,29838.0,55.0,0.0
2023-12-31,10159.0,2612.0,-103.0
2023-12-31,7646.0,1260.0,0.0
2023-12-31,10315.0,154.0,-36.0
2023-12-31,3842.0,831.0,11.0
2023-12-31,4050.0,325.0,0.0
2023-12-31,15610.0,443.0,-217.0
2023-12-31,5768.0,949.0,-886.0
2023-12-31,4051.0,54.0,0.0
2023-12-31,8011.0,447.0,0.0
2023-12-31,26416.0,23.0,1.0
2023-12-31,28729.0,528.0,0.0
2023-12-31,5097.0,1097.0,-1144.0
2023-12-31,5867.0,2995.0,0.0
2023-12-31,28735.0,630.0,0.0
2023-12-31,9489.0,500.0,0.0
2023-12-31,14982.0,508.0,37.0
