report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
2023-12-31,6063.0,CORTRUST BANK NATIONAL ASSOCIATION,1358185.0,23243.0,569.0
2023-12-31,26590.0,ABINGTON BANK,993252.0,7394.0,45713.0
2023-12-31,8843.0,AMERICAN HERITAGE NATIONAL BANK,464466.0,2156.0,16139.0
2023-12-31,3579.0,"FIRST NATIONAL BANK OF MOUNT DORA, THE",332032.0,2002.0,3897.0
2023-12-31,4071.0,FNB COWETA,101932.0,620.0,9402.0
2023-12-31,21342.0,SONATA BANK,99478.0,2534.0,13481.0
2023-12-31,26622.0,"ROCKEFELLER TRUST COMPANY, NATIONAL ASSOCIATION",0.0,202.0,1744.0
2023-12-31,12512.0,COMMUNITY FIRST BANK,88948.0,1881.0,1624.0
2023-12-31,17959.0,"DOLORES STATE BANK, THE",318765.0,8267.0,558.0
2023-12-31,17281.0,CITY NATIONAL BANK,75598648.0,,
2023-12-31,6954.0,CAYUGA LAKE NATIONAL BANK,262704.0,1487.0,15988.0
2023-12-31,26487.0,WALPOLE CO-OPERATIVE BANK,437196.0,1649.0,18401.0
2023-12-31,1711.0,CITIZENS BANK,1334524.0,25681.0,16918.0
2023-12-31,8718.0,WYOMING BANK & TRUST,282809.0,2225.0,47924.0
2023-12-31,11521.0,CHICKASAW COMMUNITY BANK,411961.0,1618.0,1222.0
2023-12-31,9069.0,FARMERS & MERCHANTS BANK,246325.0,3384.0,33717.0
2023-12-31,16636.0,"TORRINGTON SAVINGS BANK, THE",733823.0,6672.0,21316.0
2023-12-31,15562.0,PIONEER BANK & TRUST,859235.0,9778.0,87484.0
2023-12-31,4789.0,EMPRISE BANK,2090077.0,36189.0,1333.0
2023-12-31,6101.0,DECATUR COUNTY BANK,250373.0,1556.0,10101.0
2023-12-31,29332.0,FIRST SOUTHERN BANK,563862.0,10175.0,93035.0
2023-12-31,13113.0,PEOPLES TRUST AND SAVINGS BANK,208784.0,1254.0,8397.0
2023-12-31,20156.0,KIRKPATRICK BANK,848989.0,6554.0,15349.0
2023-12-31,90251.0,NEWBURYPORT FIVE CENTS SAVINGS BANK,1194199.0,9194.0,3962.0
2023-12-31,27010.0,YOUNG AMERICANS BANK,17248.0,622.0,17416.0
2023-12-31,32629.0,FIRST SAVINGS BANK,1124283.0,9960.0,23342.0
2023-12-31,29331.0,TC FEDERAL BANK,380479.0,2390.0,22649.0
2023-12-31,31864.0,"GRAND BANK FOR SAVINGS, F.S.B.",131915.0,419.0,25367.0
2023-12-31,11522.0,LIBERTY NATIONAL BANK,1121793.0,26377.0,139681.0
2023-12-31,10594.0,BANK OF FRANKLIN,198778.0,3094.0,2526.0
2023-12-31,4993.0,"CITIZENS NATIONAL BANK OF MERIDIAN, THE",1384864.0,11503.0,24913.0
2023-12-31,2987.0,BAKER BOYER NATIONAL BANK,622070.0,4108.0,22258.0
2023-12-31,23373.0,UNITED ORIENT BANK,60816.0,1197.0,3773.0
2023-12-31,7666.0,"NORTHUMBERLAND NATIONAL BANK, THE",593846.0,7680.0,8516.0
2023-12-31,9366.0,PEOPLES BANK,374724.0,7652.0,12441.0
2023-12-31,13696.0,NEBRASKA STATE BANK,17443.0,767.0,6242.0
2023-12-31,28349.0,HOME FEDERAL SAVINGS AND LOAN ASSOCIATION OF NILES OHIO,88669.0,784.0,14080.0
2023-12-31,18748.0,BRUNING BANK,492286.0,18750.0,843.0
2023-12-31,13959.0,CBW BANK,66836.0,31271.0,36893.0
2023-12-31,12591.0,"CONVERSE COUNTY BANK, THE",831959.0,1688.0,156550.0
2023-12-31,16941.0,FARMERS STATE BANK,71249.0,1889.0,0.0
2023-12-31,8210.0,FREEPORT STATE BANK,145805.0,7540.0,6279.0
2023-12-31,28348.0,BELMONT SAVINGS BANK,356814.0,2111.0,6444.0
2023-12-31,17123.0,ARTISANS' BANK,604017.0,6021.0,17265.0
2023-12-31,4097.0,"FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW, THE",114756.0,2153.0,975.0
2023-12-31,1992.0,PATHWAY BANK,212301.0,4074.0,31769.0
2023-12-31,12422.0,SECURITY STATE BANK,47275.0,1917.0,326.0
2023-12-31,16707.0,SOUTH CENTRAL STATE BANK,153771.0,4204.0,0.0
2023-12-31,1005.0,ISABELLA BANK,1749223.0,25517.0,8044.0
2023-12-31,17960.0,MERRIMACK COUNTY SAVINGS BANK,1030269.0,12783.0,18479.0
2023-12-31,14400.0,FIRST NATIONAL BANK IN TIGERTON,23634.0,539.0,6145.0
2023-12-31,12484.0,FIRST OKLAHOMA BANK,956800.0,13206.0,97584.0
2023-12-31,9099.0,SOUTH OTTUMWA SAVINGS BANK,461874.0,6928.0,10284.0
2023-12-31,10187.0,"NORTHERN STATE BANK OF GONVICK, THE",45060.0,532.0,29672.0
2023-12-31,16571.0,BMO BANK NATIONAL ASSOCIATION,206601880.0,,
2023-12-31,1993.0,CERESCOBANK,57726.0,722.0,293.0
2023-12-31,16953.0,BANK OF CLARKS,40037.0,1829.0,14.0
2023-12-31,1566.0,"PEOPLES BANK, THE",114793.0,1195.0,9166.0
2023-12-31,22065.0,GRAND BANK,520807.0,947.0,25734.0
2023-12-31,15621.0,FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW,84569.0,3434.0,5643.0
2023-12-31,15345.0,TXN BANK,550742.0,9047.0,31151.0
2023-12-31,26871.0,COMMUNITY BANKERS' BANK,111483.0,1.0,11247.0
2023-12-31,3973.0,FIRST BANK & TRUST,3848305.0,58577.0,2110.0
2023-12-31,26653.0,BANDERA BANK,85031.0,1604.0,23671.0
2023-12-31,21379.0,FIRST NATURALSTATE BANK,80083.0,4266.0,701.0
2023-12-31,25054.0,SUMMIT NATIONAL BANK,99539.0,2361.0,38812.0
2023-12-31,12166.0,WEST POINT BANK,366819.0,3453.0,4655.0
2023-12-31,6680.0,HOME NATIONAL BANK,72303.0,1666.0,427.0
2023-12-31,13242.0,FARMERS & MERCHANTS STATE BANK,166339.0,3619.0,1747.0
2023-12-31,8857.0,GROVE BANK,35565.0,997.0,8800.0
2023-12-31,5396.0,CITY BANK & TRUST CO.,248524.0,6359.0,4827.0
2023-12-31,1122.0,FIRST FIDELITY BANK,572836.0,17486.0,14076.0
2023-12-31,29345.0,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELTA,197079.0,1451.0,19666.0
2023-12-31,9179.0,UNION BANK & TRUST COMPANY,87239.0,3572.0,5312.0
2023-12-31,31485.0,EQUITABLE BANK,428905.0,4503.0,1156.0
2023-12-31,26829.0,FIRST NATIONAL BANK OF PASCO,287800.0,1575.0,6530.0
2023-12-31,6064.0,BRYANT STATE BANK,44461.0,1541.0,3300.0
2023-12-31,22835.0,"LAUDERDALE COUNTY BANK, THE",58781.0,1921.0,4689.0
2023-12-31,8188.0,FLAGSHIP BANK MINNESOTA,291432.0,3200.0,3334.0
2023-12-31,28362.0,CENTURY BANK,1247813.0,15435.0,29831.0
2023-12-31,22953.0,"AMERANT BANK, NATIONAL ASSOCIATION",7941842.0,,
2023-12-31,17906.0,AMERICAN BANK & TRUST COMPANY,232363.0,6426.0,21585.0
2023-12-31,1675.0,RICHLAND STATE BANK,42702.0,1558.0,1537.0
2023-12-31,15255.0,GREENFIELD BANKING COMPANY,115323.0,834.0,3855.0
2023-12-31,10123.0,FIRST TRUST & SAVINGS BANK,49570.0,452.0,513.0
2023-12-31,15953.0,GUARANTY BANK AND TRUST COMPANY,1905693.0,40746.0,55682.0
